设计人	编号	武将姓名	武将称号	体力值	一技能	二技能	三技能	四技能	五技能	六技能	七技能	八技能	九技能	十技能	设计思路	F&Q
人人都有缘由	#VALUE!	应玚	和而不壮	3	诗赋：你于摸牌阶段外获得的牌置于你的武将牌上，称为“赋”，出牌阶段限一次，你可以移去至少两张“赋”，若移去的“赋”的类型均相同，则视为你使用任意一张普通锦囊牌或基本牌，否则你摸等量的牌。	系民：锁定技，当一名角色受到伤害时，若其手牌数或体力值不大于你，则你与其各摸一张牌。									"武将遵循文将 3血2技能模板，
诗赋：应玚于“摸牌阶段外获得的牌”都为他的感悟，汉末社会的动荡与人民群众的灾苦，于是他“移去”这些感悟，来为这些现象做诗做赋，作品反应动荡（南蛮，万箭）或同情人民灾难（桃园结义），移去类型相同则表示，他对某一方面的感悟足够多了，若每个方面都不足够，他可以“获得等量的牌”，表示他用他有限的能力去为国效力，为国家统一做努力。
系民：应玚对人民痛苦深表同情，所以在一名角色（人民）受到伤害时，对方的体力值或手牌数不可大于应玚，然后他与其各摸一张牌（应玚体恤民众，以及看到人民受苦时所产生的感悟）。"	
鸠	#VALUE!	应玚	和而不壮	3	遗郁：转换技，你可以将每回合首次被使用并进入弃牌堆的①非伤害类牌置于牌堆顶②伤害类牌置于牌堆底。	陵梯：每轮限一次，当前回合结束或你造成伤害时，你可从牌堆一端进行判定并获得判定牌。若判定点数不小于上次判定结果，你视为未发动过此技能。									"魏晋战乱时期，应玚壮志难酬，往往为战争而悲伤，【遗郁】便选自这一心理活动描写。作为一个文人，应玚的内心活动便是希望战争（伤害类牌）减少发生（丢到牌堆底），和平（非伤害类牌）更加频繁地到来（置于牌堆顶），然而这不过是文人的一厢情愿罢了。因为埋在底部的牌终究有一天会再次爆发，这也给一众文人带来的迟来的悲剧（瘟疫与叛乱）。
【陵梯】选自应玚诗句“濯羽陵高梯”，一步步登高达成志向是应玚的梦想，因而技能效果上表现为判定点数的不断增大，同时可与其进行的控底与控顶进行配合，将文人的无限诗愁转化为其达成志向的陵高之梯。"	"Q：本回合首次被使用的牌如延时锦囊牌等未进入弃牌堆，遗郁如何结算？
A：已跳过遗郁的发动时机，不能再发动。"
鱼竿	#VALUE!	应玚	和而不壮	3	飘离：你每回合首次摸牌时，你可翻面令此次摸牌数翻倍；你每轮首次进入濒死时，你可放弃求桃令手牌数翻倍。	草赋：每局限三次。得手牌而翻倍兮，予杀闪至他处。失手牌而成对兮，视酒桃之入腹。于背上而受伤兮，可翻面或无睹。豁然牌数如初兮，复原吾之草赋。	翻倍：令一个值×2。若为手牌，指通过摸牌的方式将手牌数调整为原来的两倍。	"草赋：当你获得等同于当前手牌数的牌后，你可将一张【杀】和【闪】交给其他角色。
当你一次性失去包含至少两张点数相同的牌后，你可视为使用一张【桃】和【酒】。
当你受到伤害后，若你武将牌背面朝上，你可翻面。
当你的手牌数变为4后，复原此技能。"							受曹丕赏识，所以翻面、濒死摸牌。而自我放逐和无人声援，也尽显离居飘零之感。	
孤豹	#VALUE!	应玚	和而不壮	3	飘零：回合结束时，你可进行判定，若结果为红桃，你将判定牌置于牌堆顶或交给一名角色，若该角色是你，你弃置一张牌。	斐作：转换技，当你受到伤害后，你可以展示①一名角色的手牌②牌堆顶六张牌，然后将其中至多两张牌置于①牌堆顶②一名角色的手牌区。	擢羽：准备阶段，你可以令你本回合所有判定效果反转。若如此做，本回合结束阶段，你受到一点无来源的伤害。								技能1来源于应玚前半生漂泊伶仃，所以用了小乔的飘零来体现。应玚深得曹丕曹植兄弟赏识，“飘零”的判定元素既可以配合颂威，又可以配合落英。2技能是一个卖血技，毕竟是3血魏国的传统。展示牌堆顶的牌时选择数字6，是因为不管是诗歌还是散文，应玚都只流传下六篇。操作其中至多两张牌就是为了体现一血两牌。展示牌堆顶的牌是因为操作牌堆本身也是另一位建安七子之一的阮瑀的能力，让应玚操作牌堆顶而不是牌堆底为了配合1技能的判定；而展示别人手牌时为了体现曹操对他的赏识，毕竟谋曹操能观看别人手牌。结果怎么现在看来像族钟琰了2333技能3则是体现应玚后来到了邺城被曹操任用，结束了他飘零的前半生。从飘零半生到得遇明主，这是命运的逆转，而判定本身就有命运之意，所以可以逆转判定结果。但逆天改命是要付出代价的，应玚成功上岸来到邺城任职，但也就是在这里受到瘟疫感染而丧命，所以受到一点无来源伤害。这个技能既可以配合2技能主动卖血，也可以配合1技能，从原来1/4的概率变为3/4的概率。	
小酒窝	#VALUE!	应玚	和而不壮	3	辞情：出牌阶段限一次，你可以失去一点体力或弃两张牌然后进行一次判定，若为红，则你可以令至多两名其他角色各摸一张牌，若为黑，则你可以弃置至多两名其他角色区域内的一张牌。	盼统：每当你失去一点体力或受到一点伤害时，你展示牌堆顶的三张牌，你可以将与展示牌颜色相同的两张牌交给一名其他角色，剩余的一张牌若与其他两张颜色不同，则你获得之。									"应玚，东汉末年文学家，“建安七子”之一。
体力值3对应他文官的身份，势力为魏；
称号“和而不壮”取自于曹丕对他的评价；
一技能【辞情】，【辞情】这个技能主要想体现应玚作为文学家在汉末三国对百姓因战乱饱受摧残深感同情（失去体力或手牌），且他的文章也深受曹丕赏识（这里的判定与曹丕做了联动，哪怕是黑色也可以给曹丕摸牌）；
二技能【盼统】这个技能可以与【辞情】联动，企盼国家统一是应玚的愿望，在他的文章里处处体现了当时的战乱带给百姓的痛苦，希望有朝一日自己也能为能国家统一出一份力（卖血给其他角色两张牌，给自己一张牌）；
总结：
应玚这位武将（文官），一开始还有一个更强力的版本，但我还是选择了这一版，原因在于虽然应玚是个忧国忧民的文学家，但他参与政事很少，基本都在做文学方面的工作，所以也不能设计的太过强势，一技能和二技能有联动，再配合魏国的卖血属性（回合内可以主动卖血不白板），回合内可以最多可以创造5收益，在回合外也有概率创造3收益，缺点在于本身没什么防御属性，被集火就会被秒杀。"	"F：一技能【辞情】的使用。
Q：出牌阶段，使用技能【辞情】，选择失去一点体力或者弃两张牌，然后进行判定，判定结果为红色，选择0-2名其他角色各摸一张牌，判定结果为黑色，弃置0-2名其他角色的牌（可弃置的范围包括手牌区域、装备区域、判定区域里的牌）
F：二技能【盼统】的使用。
Q：1、失去体力可通过一技能【辞情】或者【反间】之类的技能触发，
2、超过两点或以上的伤害，技能会触发多次。
3、这个技能在展示牌顶的三张牌后，可以选择不交给其他角色，将三张牌按原顺序置于牌堆顶。
即展示三张，然后给一名其他角色两张相同颜色的牌，自己可以获得令另一张牌（前提是颜色与其他两张不同的牌），然后每多一点伤害就会重复一次行动。"
屑	#VALUE!	曹洪	洪福齐天	4	"惛贪：出牌阶段开始时，你可以令一名其他角色交给你一张牌，且本阶段结束时若此牌位于：
①你的区域内，你交给其一张牌；
②弃牌堆，其视为对你使用一张【杀】。"	效鹄：其他角色的体力值/手牌数变化至1时，你可以令其将你场上一张牌当【桃】/【无中生有】使用。然后若你与其距离因此变化，其使用此牌。									一技能对局中非常需要与队友进行配合，牌的不断回流可以保证每回合的稳定发挥，后续引来的祸端也对应其与曹丕的恩怨，二技能对应其救驾护主，能够在残局提供不错的辅助能力，可以用于化解兵乐或者提供坐骑。	
风车转转转	#VALUE!	曹洪	洪福齐天	4	援护：限定技，每轮每名角色限一次，当一名其他角色成为【杀】或普通锦囊牌的目标时，你可以失去1点体力，然后你与其依次执行一项：1.摸两张牌；2.回复1点体力；3.令此牌对其无效；4.令本技能视为未发动。若你与其此次选择的项不同，其于此牌结算后再执行第X项（X为你与其此次选择项序号之差）。										取曹洪让马的典故，但感觉以送装备为机制的话则太单薄了，于是改为以牺牲自己来达到保核的目的，技能永远是你先选再是队友选，合理想好此次要选择的项，是422还是431（143之类的也行），必要时可舍弃4选项化为白板从而给队友提升状态	
羽觞醉月	#VALUE!	郑玄	后学之宗正	3	整经:出牌阶段，你可以将一张牌当任意延时锦囊牌对自己使用，然后摸X张牌；你的回合外，你可以使用或打出场上一张基本牌，然后令一名其他角色选择执行此技能一个效果（X为你场上牌的类别数）。										技能大体框架和收益均改自原技能。郑玄整理文献的过程体现在他对场上牌类别数的调用，自己的出牌阶段往场上放牌，即郑玄对儒家经典进行注释，丰富其内容（场上牌类别数增加）；回合外使用或打出场上的基本牌，即郑玄对谬误进行删改（场上类别数减少）。一般打法是先用锦囊牌印闪电然后用基本牌印兵，在提前装备装备牌时可以过五张牌，同时有风险跳过下回合摸牌阶段（如原版净收益三牌，以及跳摸牌阶段的效果），回合外使用或打出场上一张基本牌后，若场上仍有可以使用的基本牌则可以选择队友令其使用，若没有则可以选择有闪电的对手令其印兵（大部分印兵不印乐吧）并摸牌（如原版给别人摸牌令其跳摸牌阶段，同时因为此技能贴了兵乐，原来可以贴给其的兵乐变相延迟了一轮，是原版跳过判定阶段的表现）。	"Q:怎么选择执行此技能一个效果？
A:选择以下一项执行:①将一张牌当任意延时锦囊牌对自己使用，然后摸X张牌；②使用或打出场上一张基本牌，然后令一名其他角色选择执行此技能一个效果。

Q:场上牌与你场上牌是否不同？
A:是，场上一张基本牌是对所有角色场上而言，如大乔用基本牌当乐给另一名角色贴，当你需要在回合外使用或打出与此牌同牌名的牌时你可以使用或打出此牌。你场上牌的类别数则只是对郑玄而言，指的是郑玄场上牌的类别数。"
欢狐	#VALUE!	程普	虎臣之首	4	虎首：你使用【酒】后，你可以视为使用一张【杀】(不计入次数)，若此【杀】未造成伤害，本回合你使用的下一张【杀】仍视为有【酒】的效果。	自醉：你的出牌阶段开始时，若你体力值小于等于2，你视为使用一张【酒】。									程普是江东十二虎臣之首，有着极高的武艺，若酒杀不中可以再次酒杀，是对其武艺高强最直接的表现方式。在《江表传》记载：程普颇以己年长之故，数次侮辱周瑜。周瑜折节容下，始终不与程普计较。程普后来敬服周瑜而愈加亲重，更向人说：“与周公瑾交，若饮醇醪，不觉自醉。”需要血量低于等于一半才可以触发表示其前期与周瑜产生的隔阂的内耗，而后是互相认可，在游戏中可与技能“虎臣”进行配合，创造出更大收益。	
仁语	#VALUE!	程普	虎臣之首	4	虎首：当本轮第一次使用的非延时伤害牌结算后，你记录此牌名（覆盖原牌名）。每回合限一次，当你一次性获得或失去不少于两张牌时，你可以视为使用该牌（无距离限制）。										江东虎臣之首，故设计尽量往“首次”上靠。作为一个武将也赋予了其菜刀的能力，同时和东吴部分武将也有配合。	
鱼竿	#VALUE!	程普	虎臣之首	5	戾火：锁定技。你回合内第X个阶段结束时，你视为使用一张无距离限制的火【杀】然后结束此回合。X为存活反贼数。	辅首：每轮限一次。一名角色的准备阶段开始时，你可令其改为执行一个你上回合未执行过的阶段。									"杀叛至死。所以反贼越少能执行的阶段越少。
程普久历三世，早早就开始辅佐孙氏。"	
o.O	#VALUE!	王平	虎卧北境	4	转澜:你手牌数变化过的回合结束时，你可以摸两张牌，然后将手牌弃至两色数量相同。	兵谋:当你区域里的牌被弃置后，你可以无距离次数限制的使用其中一张牌，若此牌为装备牌，你失去1点体力。									"◇“转澜”既指抵挡张郃的围攻，也指制止魏延的内乱，但都体现了王平的临危自若，很喜欢王平的一句话:“将大局逆转吧！”（
◇“兵谋”则将牌因弃置而进入弃牌堆体现为从上朝下的突袭，因为是突袭，所以再据守（上装备）肯定是弊大于利的。
◇在了解王平的生平后，我得出他确实是一名“猛人”，但就像《明朝那些事儿》里说的，“猛人”能减缓历史的车轮转动的速度，却不能改变它的方向，这也是我将一技能命名为“阻澜”而不是“转澜”的原因；尽管如此，我还是会被他力阻敌袭，奇摧敌阵的神勇而震撼。"	
半夜不睡觉	#VALUE!	王平	虎卧北境	4	严整：当你的手牌等于体力值时，你可以展示全部手牌，若颜色相等，你摸两张牌。	险拒：出牌阶段开始时，你可以与你攻击范围内的角色进行拼点，若你赢你获得其每个区域内的各一张牌，若你没赢，回复一点体力值或距离加一。	镇北：每回合限一次，当你成为牌的目标时，你摸一张牌然后你可以弃置一张牌若花色相同，直到你的下个回合开始前，此牌的效果对你无效。								个人想对标的是十周年的星曹仁，一技能严整取自陈寿的评价，王平忠勇而严整，二技能取自王平镇守汉中，以险拒敌的兴势之战。三技能取自王平的官阶，陈寿的评价以及郝经的评价，整体称号也是如此，个人认为王平是一个以稳重而称的大将军，带兵严整，以险拒敌，官至镇北大将军，想无数版本，奈何本人文采有限无法在300字以内描述出其壮阔一生，想做觉醒但感觉本版本以至极限，在做便失去美感遂作罢	"一技能在0手牌的情况下是否能发动？
答：能。
三技能是否过于被动？
答：三技能不符合名字称呼但是个人想到的联动方法有限，且技能效果取自我想的其他版本王平技能，个人认为其防御力以至巅峰。
个人想法补充：
我觉得一技能和二技能设计的挺不错，我觉得一技能和二技能虽有联动但是回合外过于白板，遂加镇北以填充回合外不足。
根据补充想法感觉到的自我问题。
为什么不把二技能做成成为目标？
答：我感觉那样会降低王平触发一技能的频率。
发动镇北后，是否还能成为被免疫牌的目标。
答：可以，个人感觉类似陈宫的智迟。"
孤豹	#VALUE!	王平	虎卧北境	4	警朗：出牌阶段限一次，你可以令所有角色议事，若你的意见与结果不同且结果为：红色，意见为红色的角色各失去一点体力；黑色，意见为黑色的角色依次将其牌堆底的一张牌当【兵粮寸断】置入自己的判定区。	连谏：使命技，当你参与议事后，可以将一张牌交给一名意见与你不同的角色并摸一张牌。成功：若所有其他角色获得你的牌不少于3张，当前回合结束时，你加一点体力上限并回复一点体力，然后废除你与一名其他角色判定区；失败：每回合结束时，若本回合有角色于没有手牌时进入濒死状态，你弃置一名手牌数小于体力值的角色的所有手牌。									技能1是对王平的评价，体现王平性格。技能2是一个使命技，体现街亭之战对马谡的劝说。技能1是为了展现王平能够根据不同的情况做出不同的选择，所以技能1覆盖了两场战役，分别是街亭之战和曹爽伐蜀之战。这两场战役都是王平的观点跟大多数或者主流观点不一样，所以要求王平意见与议事结果不同才能触发。议事红色代表保守，黑色代表激进。所以前半段代表曹爽伐蜀之战，大多数人认为应该放弃汉、乐二城退守，属于保守派，这无异于让蜀汉处于危险之中，所以失去体力。后半段代表街亭之战，马谡在山上扎营还妄图“置之死地而后生”，属于激进，最后被魏军从山下断了水源，所以将牌堆底的牌当【兵粮寸断】（牌堆底象征山下）。技能2给牌象征劝说，成功条件是其他人获得自己手牌多次，可以配合技能1，配合马谡，克制司马懿和张郃，甚至可以配合阴包王平。使命成功象征劝说马谡成功，后面自己增加体力上限与恢复体力化用国战王平的效果，废除判定区分别针对兵乐两张牌，马谡听劝就不会被断水，象征不会被兵；如果街亭之战胜利，那么一次北伐结果犹未可知，乃至整个蜀汉国运可能发生改变，那刘禅也不用乐不思蜀了。如果失败条件象征被断水（没手牌）的马谡军被魏军打残（进濒死），失败后让一名手牌数小于体力值的角色弃置所有手牌有多重意思：1.马谡失守，诸葛亮马上要唱空城计化解危机，弃置所有手牌象征空城；2.老马谡挥泪效果是令杀死他的角色弃置所有手牌，这是暗示马谡之死；3.演义中王平试图力挽狂澜救街亭，弃牌象征对魏军的进攻；4.但魏国几员大将，郭淮有闭月能力，张郃可以条弃牌阶段，合司马懿能够加手牌上限，王平心有余而力不足；5.马谡死之前，诸葛亮一直把马谡当自己的学生培养，马谡死后，转而培养姜维，所以可以促进姜维觉醒。另外，在曹爽伐蜀过程中，费祎也参与了，所以使命技成功克制ol曹爽，失败让人弃牌可以触发蒋费的技能（十周年身份局）。	技能1若触发后半段效果，判定区本来有【兵粮寸断】的角色不用执行，也就是说本来就被兵的角色没法再把兵放到判定区。
鸠	#VALUE!	王平	虎卧汉中	4	援却：每回合限一次，你可将本回合弃牌堆中至少两张同名牌当作【桃】或【无懈可击】使用，然后令等量名角色各摸一张牌。	飞军：锁定技，每个回合开始时，你观看牌堆顶的牌并选择一项：弃置此牌，或摸两张牌且此技能本轮失效。									"【援却】选择王平在街亭设下疑兵以止损的事迹。画面感表现为阻止敌方乘胜追击，所以此时牌堆中大概率会有多张同名牌，王平便可借此设下伏兵（均摸牌），阻止敌方进攻，保全队友。转化【无懈可击】也是采取其受诸葛亮器重，受其教导的体现。
【飞军】选自无当飞军。由于一技能的发动条件偏苛刻，因此增设一个二技能提高一技能的发动条件。除此之外，二技能本身也有几层意思：一层是飞军作为先头部队，总是能提前作出洞察并作出准备，干扰敌方的摸牌质量。另一层是最小概念上的“观星”，承接老年诸葛亮对王平的嘱托身后事迹。
王平的整体形象偏向防御端，不辱其“平安三侯”的威名。"	
万千纸鹤	#VALUE!	王平	虎卧于北	4	督镇：出牌阶段限一次，你可以获得至多x名其他角色区域内一张牌，然后你分配给其中手牌数最少的角色一张牌，你重复此流程，直至这些角色的手牌数相同，或你的手牌数为零，若你因此手牌数为零，你将手牌补至体力上限；技能结算后，手牌数与使用技能前不同，你视为对一名角色使用一张【杀】。	将略：限定技，出牌阶段，你增加1点体力上限，并你令场上所有角色选择一项：1.随机获得弃牌堆中一张锦囊牌，然后你视为使用了一张目标为你或其的同名锦囊牌；2.令你摸一张牌。之后，若你的手牌数为全场最多或之一，你回复1点体力。									"督镇，来源于王平镇守汉中时期，即使大军压境，也临危不惧，督军整严，镇守关隘。
将略，来源于王平绒旅一生，虽识字不过十，却述旨于旁，且知其大意，有大将之略。"	
楚谋	#VALUE!	张温	互乡侯	3/4	忌威：锁定技，当一名体力值不小于你的其他角色于本回合首次使用牌指定你为目标时，你弃置一张牌并取消之；当前回合结束时，若其已受伤，你视为对其使用一张【杀】。	庸决：转换技，每当你造成或受到伤害时，伤害来源可以，阳：弃置一张牌令此伤害+1；阴：摸一张牌令此伤害-1。									"谨慎和懦弱是这个人物的历史特点，尤其体现在面对董卓时选择的忍让和面对孙坚时选择的犹豫上。所以这次的武将设计也和他两人息息相关，在技能之前首先是血量，张温是一个文官变临时将帅，所以他看似是将帅的4勾玉但实际上只有文官的3勾玉，空出的1勾玉也代表着他本人华而不实。

“忌威”，这个技能在别人首次对你用牌时可以强制取消，也对应了张温在面对董卓时的隐忍；虽然可以很好的防住董卓的酒杀或大宝老宝这种加伤类武将，但实际上就是一个纸老虎，多碰一下就破了；且此技能具有一些if线，就是张温不是不想杀董卓，而是要等时机，也就是等待“崩坏”的强制扣血来让他发动技能的后半段。

“庸决”也很好理解，犹犹豫豫的不抉择。转换技中的阴阳通常是阳为谐、阴为乱，但张温的阴阳却是反转的，也是代表他身份与性格的冲突。"	
仁语	#VALUE!	曹洪	护主周全	4	善纳：其他角色的出牌阶段限一次，其可以交给你一张牌并声明一种牌的类型，你可以使用一张此类型的牌，若此牌造成伤害，其摸一张牌，否则你摸一张牌。	援护：每轮游戏开始时，你可以选择一名其他角色，本轮游戏其他角色计算其距离+1，计算你的距离-1。									一技能按曹洪事迹不突出（并不是平庸的意思）但是本人听劝的特点。	
九芺	#VALUE!	王平	擐军挽澜	4	衙闭：出牌阶段开始时，你可以摸两张牌并将一张牌当作【兵粮寸断】对自己使用，若如此做，直到下回合开始前，当你成为牌的目标后，你可以失去1点体力令此牌对你无效。	佯拒：每回合限一次，当一名角色跳过阶段后，你可以视为使用一张【杀】。									一技能取王平置军于山上穷守，摸牌代表了军中非常少的生产资源，以兵粮寸断表现不一定会有补给，通过失去体力无效牌的方式表现了王平应对庞大魏军的不断坚守。二技能则是来自王平分均配合支援的典故，通过佯攻的方式抗拒魏军，因此表现为，张郃曹爽等通过各种的军略（跳过某人的阶段）来进军，王平可以抓住机会，击退敌军。	
楚谋	#VALUE!	韦曜	讳虎难论	3	辩棋：出牌阶段，你可以与一名角色拼点：若其没赢，你可以使用一张拼点牌，否则你失去本技能直到回合结束且其可以使用一张拼点牌。	据论：限定技，准备阶段，你可以令所有体力值不小于你的角色议事，若结果为：红色，所有角色各回复1点体力，然后你复原本技能；黑色，体力值最高的角色视为对所有其他角色造成1点伤害。									"我个人非常认同的一句话是：“辩论比赛我们要说服的绝不是对方，因为对方永远不可能被你说服，你的受众是评委和观众”。作为可能是吴国最精明的侍讲儒士，他自然也知道只要对方没赢，赢的就是你。于是这个“辩棋”这个技能就是只要对方没赢，你就达成目的了（发动正面效果）。

“据论”的思路则主要是围绕着劝谏孙皓这个典故。因为是朝廷内部讨论，所以只有官位（体力）不小于你的人才资格进议事。若大家都愿意和和气气（红色），便是回血共赢。但对于孙皓或“心怀鬼策”的人来说，大家都掉血才符合最大利益，所以他们则会毫不犹豫的投向反对（黑色）。对于复原技能如果是明主，那你越提好意见他越开心，但如果是孙皓这种残暴，你就入狱等死了（掉血+失去技能）。"	
画师EMm	#VALUE!	左思	稽实闭藻	3	思录：每名角色的结束阶段，若你本回合受到过伤害或本回合没有牌因弃置而进入弃牌堆，你可以交换你与一名其他角色的一张手牌，然后亮出任意张未亮出的手牌直到游戏结束，若你以此法亮出了牌，你摸一张牌。	瑰旨：准备阶段，你可以根据你已亮出手牌数量最多的种类中选择一项效果执行：伤害类锦囊和红色【杀】，你视为对至多X名其他角色使用一张【杀】（X为此种类的牌数量）；装备牌，弃置至多X名角色各一张牌，这些角色恢复一点体力；不为以上两种种类的牌，你令至多X名角色各摸一张牌。	卷金：限定技，你的回合结束后，你可以亮出所有手牌直到游戏结束，摸两张牌，然后直到你下个回合结束前，每名角色可以将所有未亮出的手牌当做一张你已亮出的手牌使用（不能是本回合已以此法使用过的牌），然后你可以将一张牌置入弃牌堆并摸一张牌。								"一技能表现左思发奋学习、闭门作赋与请教别人异地风貌来作赋。
二技能表现左思的三都赋，三种效果对应三国。
三技能洛阳纸贵。
对局中要控制好亮出手牌的种类来打出不同效果，关键时刻开大（吃座次）帮队友输出，弃牌限制对方输出，同时多攒装备牌便于自己回合输出。"	
鲲鲲	#VALUE!	张温	及力及行	4	迫伐：一个当前回合角色没有造成过伤害的出牌阶段结束时，你可令其摸并使用一张牌，若其不从或仍未造成伤害，其须将所有手牌或1点体力当做【杀】使用。	欺粮：你摸牌时，可将其中任意张伤害类牌当做【草木皆兵】对等量名角色使用并摸等量的牌，若之未对其他角色生效，你重新对目标使用对应实体牌。										"*【草木皆兵】：
出自《三国杀·忠胆英杰》。
出牌阶段，对一名其他角色使用。
将此牌置入目标判定区内，若判定结果不为♣️，本回合其下个摸牌阶段少摸一张牌。
此阶段结束时，与其距离为1的角色各摸一张牌。"
殆君尽考场	#VALUE!	左思	极深研几	3	三赋：游戏开始时，你选择〖险赋〗〖裕赋〗〖电赋〗其中一个获得之。你的准备阶段，你失去以此法获得的技能并重复上述选择。	险赋：每回合限一次，你可视为使用一张无距离限制且不计入次数的任意基本牌或普通锦囊牌。	裕赋：一名角色的结束阶段，若你本回合未受过伤害，你摸一张牌。你的回合开始时，你可以移动场上一张装备牌。	典赋：当你被使用牌时，你可将此牌置于你的武将牌上，你的回合开始时你获得之。							搞了十年文学，摄取三都之色作赋：险峻成都、裕足建邺、典章邺城。那么来了三国杀，待左再作三赋，此次，就摄取各势力之精华为文章之魂。	"Q：一号位刘备使用【南蛮入侵】，此时二号位的左思拥有〖典赋〗，三号位是界曹操且受到此【南蛮入侵】造成的伤害，那么此牌结算后会发生什么？
A：按座次顺序，左思扣置此牌于其武将牌上，界曹操无法获得此牌"
亓官晏	#VALUE!	曹洪	疾驰救援	4	援驹：当你使用或打出一张牌后，你可以选择执行一项：1.本回合你与其他角色计算距离-1；2.本回合其他角色与你计算距离+1；然后你令一名其他角色执行另一项。	踏星：出牌阶段，你可以选择一名你与其计算距离等于X的角色（X为你的手牌数与体力之差），对其造成1点伤害。									一技能根据曹洪经典献马典故，自己控制距离的同时帮助队友脱离敌人攻击范围；曹洪作为曹操的得力手下，其个人能力毋庸置疑，因此在配合一技能把控距离的同时赋予曹洪更强大的直伤打击能力。	
梁清渤	#VALUE!	曹洪	疾驰救援	4	悍拒：锁定技，当一名角色受到伤害后，你本回合计算与其他角色的距离-1。	救险：当一名其他角色使用伤害牌指定你距离1以内的角色为唯一目标时，你可以重铸一张牌，令此牌无效。若如此做，你令此牌的使用者视为对你使用一张【决斗】。										
Phantom-Avilia	#VALUE!	曹洪	疾驰救援	4	驰援：当一名其他角色被【杀】指定后，若你的装备区内有坐骑牌且你与其距离为一，你可以将你装备区内一张坐骑牌置入其装备区，然后若其不不为此【杀】的合法目标，则取消此杀目标，否则你令其获得一张其手牌中没有的基本牌。	神骏：锁定技，游戏开始时，你将【白鹄】置入你的装备栏；你的坐骑栏不能被废除；你的回合开始时，若场上没有【白鹄】，则你将其置入你的坐骑栏。（【白鹄】：+1马）										
九芺	#VALUE!	韦曜	继言存牒	3	荈当：锁定技，你手牌中的【酒】视为【桃】。每个结束阶段，若你本回合至少使用了至少两种以上的基本牌，你弃置一种颜色的所有手牌，然后将手牌调整至体力上限。	述才：每回合限一次，你使用非基本牌结算后，若此时：为你的回合，你可以将一张基本牌当作任意非延时锦囊牌使用；不为你的回合，你可以将一张牌当任意基本牌使用。										
纱布	#VALUE!	郑玄	兼采定道	3	注礼：出牌阶段开始时，若你没有“注”，你可展示牌堆顶三张牌，并将一张牌置于你的武将牌上，称为“注”。	整经：当你使用或打出一张牌时，你可将此牌上的一个数字替换为“注”上的一个数字。回合开始时，你可获得“注”。									"设计思路：
技能【注礼】，出自其注释三礼的典故，是为其后续【整经】而做的铺垫。

技能【整经】，出自其整理古经的事迹，他可以根据自己已有的思想来对自己的卡牌进行一定自己的诠释，也可以收纳自己的想法从而重新获得新的思路。这里需要注意的是，描述里的一个数字指的仅仅只是实体卡牌上已有的数字且不包含字母，举例来说他无法将杀的伤害修改为十三，因为杀的效果并没有写在卡牌上且点数K并不是数字。"	
终汐舷	#VALUE!	郑玄	兼采定道	3	拒仕：准备阶段，你可以弃置自己区域内的一张牌，若如此做，你摸一张牌。	归典：你受到或造成伤害时，你可以亮出牌堆顶的三张牌，选择一张牌置于“仁”中；若你以此法令“仁”区中的牌数达到上限或溢出，你获得“仁”区内的所有牌。	博引：当一张牌进入弃牌堆时，若本局游戏中没有与之同名的牌进入过弃牌堆，则你可以获得该牌。								"郑玄作为东汉末年的一代大儒，我基本上只选择靠近黄巾起义时期的典故。
       一技能“拒仕”指郑玄老年守节不仕的典故，实际效果为正常情况下进行一个一牌制衡，而成为非延时锦囊目标时可以防御住其效果，对应三国杀关于谦虚类的技能都与免疫非延时锦囊有关。
       二技能“归典”则是指郑玄被禁锢的十四年期间注释典籍，开创郑学，在这里我引用了手杀仁包的“仁”区机制，在造成或受到伤害时可以选牌加入“仁”区，在收集满之后则可以将这些牌拿到手里。
       三技能“博引”则体现郑玄的博学，在一种牌名的牌首次进入弃牌堆时可以将其收入手牌，体现郑玄在经学、教育、思想等多方面的造诣，也可以和“拒仕”、“归典”配合（归典是亮出牌，没选到的牌会进入弃牌堆）。"	
风车转转转	#VALUE!	石苞	剑履山泽	4	宏器：你可以将装备区里的任意张牌当未以此法使用过且结算X次的基本牌使用（X为你此次转化的牌数）。	幸擢：每名角色的出牌阶段限一次，其可以摸一张牌并将一张牌置于你装备区里的武器或坐骑牌上，然后令此牌的攻击范围或距离计算的数值+1。										①有幸擢牌的装备被顺手、反馈等拿走时，幸擢牌也一同拿走。②幸擢牌可配合【宏器】一同转化。
とわこ	#VALUE!	王平	健稳持重	4	持鸣：其他角色使用伤害牌时，你可以摸一张牌并令其选择一项：1.取消此牌，本回合此技能失效；2.展示你一半数量的手牌（向下取整），然后你对其使用其中的伤害牌。	镇北：锁定技，你于出牌阶段外对其他角色造成伤害后，其本回合非锁定技失效。									〖持鸣〗取自《三国志·王平传》：众尽星散，惟平所领千人，鸣鼓自持，魏将张郃疑其伏兵，不往逼也。因此王平边给压力边给予选择，若是取消用牌，则就此收兵而退，如果硬要一探究竟，有可能为王平所埋伏。〖镇北〗取自王平官至镇北大将军，又因 《三国志·王平传》：是时，邓芝在东，马忠在南，平在北境，咸著名迹。王平驻守汉中，防备北方曹魏，而魏国卖血将居多，因此王平的技能对北境魏国有奇效。	
